@relation os_identification

@attribute os_class string
@attribute os_name string
@attribute features string

@data
'Class 3Com | embedded || broadband router','broadband router','SEQ(SP=0-63%GCD=61A8|C350|124F8|186A0|1E848%ISR=8A-B0%TI=I%II=I%SS=S%TS=U)|OPS(O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4)|WIN(W1=400%W2=400%W3=400%W4=400%W5=400%W6=400)|ECN(R=Y%DF=N%T=FA-104%TG=FF%W=400%O=M5B4%CC=N%Q=)|T1(R=Y%DF=N%T=FA-104%TG=FF%S=O%A=O|S+%F=AS%RD=0%Q=)|T2(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=U)|T3(R=Y%DF=N%T=FA-104%TG=FF%W=400%S=O%A=S+%F=AS%O=M5B4%RD=0%Q=)|T4(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=A%A=Z%F=R%O=%RD=0%Q=|U)|T5(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=|U)|T6(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=A%A=Z%F=R%O=%RD=0%Q=|U)|T7(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=|U)|U1(DF=N%T=FA-104%TG=FF%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=N%T=FA-104%TG=FF%CD=S)'
'Class 3Com | embedded || firewall','firewall','SEQ(II=I%TS=3)|OPS(O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=3A-44%TG=40%W=2000%O=M5B4NW0%CC=N%Q=)|T1(R=Y%DF=N%T=3B-45%TG=40%S=O%A=O|S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=N)|T4(R=N)|T5(R=Y%DF=N%T=3A-44%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=N)|T7(R=N)|U1(DF=N%T=3A-44%TG=40%IPL=38%UN=0%RIPL=G%RID=4210%RIPCK=Z%RUCK=0%RUD=G)|IE(DFI=N%T=3A-44%TG=40%CD=Z)'
'Class 3Com | embedded || router','router','SEQ(SP=C-16%GCD=F402|1E804|2DC06|3D008|4C40A%ISR=97-A1%TI=I%II=I%SS=S%TS=1)|OPS(O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11)|WIN(W1=111C%W2=1068%W3=1180%W4=1000%W5=10C0%W6=1090)|ECN(R=Y%DF=N%T=3B-45%TG=40%W=111C%O=M5B4NW0%CC=N)|T1(R=Y%DF=N%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0)|T2(R=N)|T3(R=Y%DF=N%T=3B-45%TG=40%W=1090%S=O%A=O%F=A%O=NNT11%RD=0)|T4(R=Y%DF=N%T=3B-45%TG=40%W=1000%S=A%A=Z%F=R%RD=0)|T5(R=Y%DF=N%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%RD=0)|T6(R=Y%DF=N%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%RD=0)|T7(R=Y%DF=N%T=3B-45%TG=40%W=0%S=Z%A=S%F=AR%RD=0)|U1(DF=N%T=FA-104%TG=FF%IPL=38%UN=0%RIPL=15C%RID=G%RIPCK=I%RUCK=0%RUD=G)|IE(DFI=S%T=FA-104%TG=FF%CD=S)'
'Class 3Com | embedded || router','router','SEQ(SP=0-5%GCD=B|16|21|2C|37%ISR=30-3A%TI=I%CI=I%II=I%SS=S%TS=U)|OPS(O1=M578%O2=M578%O3=M280%O4=M578%O5=M218%O6=M109)|WIN(W1=1770%W2=1770%W3=1770%W4=1770%W5=1770%W6=1770)|ECN(R=Y%DF=Y%T=3B-45%TG=40%W=1770%O=M578%CC=N%Q=)|T1(R=Y%DF=Y%T=3B-45%TG=40%S=O%A=O|S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=N)|T4(R=Y%DF=N%T=3B-45%TG=40%W=0%S=A%A=O%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=3B-45%TG=40%W=0%S=A%A=O%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|U1(DF=Y%T=3B-45%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=N|S%T=3B-45%TG=40%CD=Z)'
'Class 3Com | embedded || switch','switch','SEQ(SP=8E-98%GCD=1-6%ISR=92-9C%TI=I%CI=I%II=RI%SS=S%TS=1)|OPS(O1=M5B4NW0NNT11%O2=M5B4NW0NNT11%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11%O5=M5B4NW0NNT11%O6=M5B4NNT11)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=19-23%TG=20%W=2000%O=M5B4NW0%CC=N%Q=)|T1(R=Y%DF=N%T=19-23%TG=20%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=19-23%TG=20%W=2000%S=O%A=S+%F=AS%O=%RD=0%Q=)|T4(R=Y%DF=N%T=19-23%TG=20%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=19-23%TG=20%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=19-23%TG=20%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=19-23%TG=20%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=19-23%TG=20%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=19-23%TG=20%CD=S)'
'Class Huawei | VRP | 3.X | switch','switch','SEQ(SP=FB-107%GCD=1-6%ISR=100-110%TI=I%II=I%SS=S%TS=U)|OPS(O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=FA-104%TG=FF%W=2000%O=M5B4%CC=N%Q=)|T1(R=Y%DF=N%T=FA-104%TG=FF%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=FA-104%TG=FF%W=1FC4%S=O%A=O%F=A%O=%RD=0%Q=)|T4(R=Y%DF=N%T=FA-104%TG=FF%W=2000%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=FA-104%TG=FF%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=0%RUD=G)|IE(DFI=S%T=FA-104%TG=FF%CD=S)'
'Class Huawei | VRP | 3.X | switch','switch','SEQ(SP=FF-109%GCD=1-6%ISR=105-111%TI=I%II=I%SS=S%TS=U)|OPS(O1=M200%O2=M200%O3=M200%O4=M200%O5=M200%O6=M200)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=FB-105%TG=FF%W=2000%O=M200%CC=N%Q=)|T1(R=Y%DF=N%T=FB-105%TG=FF%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=FB-105%TG=FF%W=1FC4%S=O%A=O%F=A%O=%RD=0%Q=)|T4(R=Y%DF=N%T=FB-105%TG=FF%W=2000%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=FB-105%TG=FF%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=0%RUD=G)|IE(DFI=S%T=FB-105%TG=FF%CD=S)'
'Class 3Com | embedded || switch','switch','SEQ(SP=C1-CD%GCD=1-6%ISR=CD-D9%TI=I%CI=I%TS=U)|OPS(O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=FA-104%TG=FF%W=2000%O=M5B4%CC=N%Q=)|T1(R=Y%DF=N%T=FA-104%TG=FF%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=FA-104%TG=FF%W=1FC4%S=O%A=O%F=A%O=%RD=0%Q=)|T4(R=Y%DF=N%T=FA-104%TG=FF%W=2000%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=FA-104%TG=FF%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=0%RUD=G)|IE(R=N)'
'Class 3Com | embedded || switch','switch','SEQ(SP=FC-106%GCD=1-6%ISR=100-10F%TI=I%II=I%SS=S%TS=U)|OPS(O1=M200%O2=M200%O3=M200%O4=M200%O5=M200%O6=M200)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=FA-104%TG=FF%W=2000%O=M200%CC=N%Q=)|T1(R=Y%DF=N%T=FA-104%TG=FF%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=N)|T4(R=N)|T5(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=N)|T7(R=N)|U1(DF=N%T=FA-104%TG=FF%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=0%RUD=G)|IE(DFI=S%T=FA-104%TG=FF%CD=S)'
'Class 3Com | embedded || switch','switch','SEQ(SP=B-15%GCD=FA00|1F400|2EE00|3E800|4E200%ISR=96-A0%TI=I%II=I%SS=S%TS=U)|OPS(O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=FB-105%TG=FF%W=2000%O=M5B4%CC=N)|T1(R=Y%DF=N%T=FB-105%TG=FF%S=O%A=O|S+%F=AS%RD=0)|T2(R=N)|T3(R=N)|T4(R=N)|T5(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=Z%A=S+%F=AR%RD=0)|T6(R=N)|T7(R=N)|U1(DF=N%T=FB-105%TG=FF%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=0%RUD=G)|IE(DFI=S%T=FB-105%TG=FF%CD=S)'
