@relation os_identification

@attribute os_class string
@attribute os_name string
@attribute features string

@data
'Class FreeBSD | FreeBSD | 7.X | storage-misc','storage-misc','SEQ(SP=FF-109%GCD=2|4|6|8|A%ISR=101-10B%TI=I%CI=I%II=I%SS=S%TS=21)|OPS(O1=M5B4NW3ST11%O2=M578NW3ST11%O3=M280NW3NNT11%O4=M5B4NW3ST11%O5=M218NW3ST11%O6=M109ST11)|WIN(W1=4000%W2=4000%W3=4000%W4=4000%W5=4000%W6=4000)|ECN(R=Y%DF=Y%T=3B-45%TG=40%W=4000%O=M5B4NW3SLL%CC=N%Q=)|T1(R=Y%DF=Y%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=Y%T=3B-45%TG=40%W=4000%S=O%A=S+%F=AS%O=M109NW3ST11%RD=0%Q=)|T4(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=3B-45%TG=40%CD=S)'
'Class FreeBSD | FreeBSD | 7.X | storage-misc','storage-misc','SEQ(SP=EE-10A%GCD=2|4|6|8|A%ISR=104-112%CI=I%II=I%TS=21|22)|OPS(O1=M5B4NW6ST11|M5B4NW7ST11|M5B4NW8ST11|M5B4NW9ST11%O2=M578NW6ST11|M578NW7ST11|M578NW8ST11|M578NW9ST11%O3=M280NW6NNT11|M280NW7NNT11|M280NW8NNT11|M280NW9NNT11%O4=M5B4NW6ST11|M5B4NW7ST11|M5B4NW8ST11|M5B4NW9ST11%O5=M218NW6ST11|M218NW7ST11|M218NW8ST11|M218NW9ST11%O6=M109ST11)|WIN(W1=FFFF%W2=FFFF%W3=FFFF%W4=FFFF%W5=FFFF%W6=FFFF)|ECN(R=Y%DF=N%T=3B-45%TG=40%W=FFFF%O=M5B4NW6SLL|M5B4NW7SLL|M5B4NW8SLL|M5B4NW9SLL%CC=N%Q=)|T1(R=Y%DF=N%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=3B-45%TG=40%W=FFFF%S=O%A=S+%F=AS%O=M109NW6ST11|M109NW7ST11|M109NW8ST11|M109NW9ST11%RD=0%Q=)|T4(R=Y%DF=N%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=3B-45%TG=40%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=3B-45%TG=40%CD=S)'
'Class FreeBSD | FreeBSD | 7.X | storage-misc','storage-misc','SEQ(SP=FB-109%GCD=1-6%ISR=106-110%TI=I%CI=I%II=I%SS=S%TS=21|22)|OPS(O1=M5B4NW3ST11%O2=M578NW3ST11%O3=M280NW3NNT11%O4=M5B4NW3ST11%O5=M218NW3ST11%O6=M109ST11)|WIN(W1=FAF0%W2=FAF0%W3=FAF0%W4=FAF0%W5=FAF0%W6=FAF0)|ECN(R=Y%DF=Y%T=3B-45%TG=40%W=FAF0%O=M5B4NW3SLL%CC=N%Q=)|T1(R=Y%DF=Y%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=Y%T=3B-45%TG=40%W=FAF0%S=O%A=S+%F=AS%O=M109NW3ST11%RD=0%Q=)|T4(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=3B-45%TG=40%CD=S)'
'Class FreeBSD | FreeBSD | 7.X | storage-misc','storage-misc','SEQ(SP=F5-10B%GCD=1-6%ISR=104-110%TI=I%II=I%SS=S%TS=20-22)|OPS(O1=M5B4NW7ST11%O2=M578NW7ST11%O3=M280NW7NNT11%O4=M5B4NW7ST11%O5=M218NW7ST11%O6=M109ST11)|WIN(W1=FFFF%W2=FFFF%W3=FFFF%W4=FFFF%W5=FFFF%W6=FFFF)|ECN(R=Y%DF=N%T=3B-45%TG=40%W=FFFF%O=M5B4NW7SLL%CC=N%Q=)|T1(R=Y%DF=N%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=3B-45%TG=40%W=FFFF%S=O%A=S+%F=AS%O=M109NW7ST11%RD=0%Q=)|T4(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=3B-45%TG=40%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=3B-45%TG=40%CD=S)'
'Class FreeBSD | FreeBSD | 10.X | storage-misc','storage-misc','SEQ(SP=102-10C%GCD=1-6%ISR=105-10F%TI=I%CI=I|RD%II=I%SS=S%TS=21|22)|OPS(O1=M5B4NW6ST11%O2=M578NW6ST11%O3=M280NW6NNT11%O4=M5B4NW6ST11%O5=M218NW6ST11%O6=M109ST11)|WIN(W1=FFFF%W2=FFFF%W3=FFFF%W4=FFFF%W5=FFFF%W6=FFFF)|ECN(R=Y%DF=Y%T=3B-45%TG=40%W=FFFF%O=M5B4NW6SLL%CC=Y%Q=)|T1(R=Y%DF=Y%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=Y%T=3B-45%TG=40%W=FFFF%S=O%A=S+%F=AS%O=M109NW6ST11%RD=0%Q=)|T4(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(R=N)'
'Class FreeBSD | FreeBSD | 6.X | general purpose','general purpose','SEQ(SP=FC-10A%GCD=1-6%ISR=106-110%TI=I%II=I%SS=S%TS=7)|OPS(O1=M5B4NW0NNT11SLL%O2=M5B4NW0NNT11SLL%O3=M5B4NW0NNT11%O4=M5B4NW0NNT11SLL%O5=M5B4NW0NNT11SLL%O6=M5B4NNT11SLL)|WIN(W1=4000%W2=4000%W3=4000%W4=4000%W5=4000%W6=4000)|ECN(R=Y%DF=Y%T=3B-45%TG=40%W=4000%O=M5B4NW0SLL%CC=N%Q=)|T1(R=Y%DF=Y%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=Y%T=3B-45%TG=40%W=4000%S=O%A=S+%F=AS%O=M5B4NW0NNT11SLL%RD=0%Q=)|T4(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=3B-45%TG=40%CD=S)'
'Class FreeBSD | FreeBSD | 8.X | storage-misc','storage-misc','SEQ(SP=E9-F3%GCD=A|14|1E|28|32%ISR=105-10F%TI=I%CI=I%II=I%SS=O|S%TS=21)|OPS(O1=M5B4NW3ST11%O2=M578NW3ST11%O3=M280NW3NNT11%O4=M5B4NW3ST11%O5=M218NW3ST11%O6=M109ST11)|WIN(W1=FFFF%W2=FFFF%W3=FFFF%W4=FFFF%W5=FFFF%W6=FFFF)|ECN(R=Y%DF=Y%T=3B-45%TG=40%W=FFFF%O=M5B4NW3SLL%CC=N%Q=)|T1(R=Y%DF=Y%T=3B-45%TG=40%S=O%A=O|S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=Y%T=3B-45%TG=40%W=FFFF%S=O%A=O|S+%F=AS%O=M109NW3ST11%RD=0%Q=)|T4(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=Y%T=3B-45%TG=40%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=3B-45%TG=40%CD=S)'
'Class Fronius | embedded || power-device','power-device','SEQ(SP=BC-D0%GCD=1-6%ISR=CA-D4%TI=Z%CI=Z%II=I%TS=7)|OPS(O1=M514ST11NW1%O2=M514ST11NW1%O3=M514NNT11NW1%O4=M514ST11NW1%O5=M514ST11NW1%O6=M514ST11)|WIN(W1=16A0%W2=16A0%W3=16A0%W4=16A0%W5=16A0%W6=16A0)|ECN(R=Y%DF=Y%T=3C-46%TG=40%W=16D0%O=M514NNSNW1%CC=N%Q=)|T1(R=Y%DF=Y%T=3C-46%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=Y%T=3C-46%TG=40%W=16A0%S=O%A=O%F=A%O=NNT11%RD=0)|T4(R=Y%DF=Y%T=3C-46%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=Y%T=3C-46%TG=40%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=Y%T=3C-46%TG=40%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=N)|U1(DF=N%T=3C-46%TG=40%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=N%T=3C-46%TG=40%CD=S)'
'Class Frontier Silicon | embedded || media device','media device','SEQ(SP=25-2F%GCD=1-6%ISR=7C-86%TI=I%CI=I%II=RI%SS=O%TS=U)|OPS(O1=M5B4%O2=M578%O3=M280%O4=M5B4%O5=M218%O6=M109)|WIN(W1=4000%W2=4000%W3=4000%W4=4000%W5=4000%W6=4000)|ECN(R=Y%DF=N%T=FA-104%TG=FF%W=4000%O=M5B4%CC=N%Q=)|T1(R=Y%DF=N%T=FA-104%TG=FF%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=FA-104%TG=FF%W=4000%S=O%A=S+%F=AS%O=M109%RD=0%Q=)|T4(R=Y%DF=N%T=FA-104%TG=FF%W=4000%S=A+%A=S%F=AR%O=%RD=0%Q=)|T5(R=Y%DF=N%T=FA-104%TG=FF%W=4000%S=A%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=FA-104%TG=FF%W=4000%S=A%A=S%F=AR%O=%RD=0%Q=)|T7(R=Y%DF=N%T=FA-104%TG=FF%W=4000%S=A%A=S+%F=AR%O=%RD=0%Q=)|U1(DF=N%T=FA-104%TG=FF%IPL=38%UN=3640%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=2D-37%TG=40%CD=S)'
'Class Frontier Silicon | embedded || media device','media device','SEQ(SP=DA-104%GCD=1-6%ISR=DB-F3%TI=I%CI=I%II=I%SS=S%TS=U)|OPS(O1=M5B4W0L%O2=M5B4W0L%O3=M5B4W0L%O4=M5B4W0L%O5=M5B4W0L%O6=M5B4)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=6A-7B%TG=80%W=2000%O=M5B4W0L%CC=N%Q=)|T1(R=Y%DF=N%T=6A-7B%TG=80%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=N)|T4(R=Y%DF=N%T=6A-7B%TG=80%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=6A-7B%TG=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=6A-7B%TG=80%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=6A-7B%TG=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|U1(DF=N%T=6A-7B%TG=80%IPL=240%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=>0|83CB%RUD=I)|IE(DFI=N%T=6A-7B%TG=80%CD=Z)'
'Class Frontier Silicon | embedded || media device','media device','SEQ(SP=CF-DD%GCD=1-6%ISR=D6-E0%CI=I%II=I%TS=U)|OPS(R=N)|WIN(R=N)|ECN(R=N)|T1(R=Y%DF=N%T=72-7C%TG=80%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=N)|T4(R=Y%DF=N%T=72-7C%TG=80%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=72-7C%TG=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=72-7C%TG=80%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=72-7C%TG=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|U1(DF=N%T=72-7C%TG=80%IPL=240%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=>0%RUD=I)|IE(DFI=N%T=72-7C%TG=80%CD=Z)'
'Class Frontier Silicon | embedded || media device','media device','SEQ(SP=CD-FF%GCD=1-6%ISR=EA-FA%TI=I%CI=I%II=I%SS=S%TS=U)|OPS(O1=M5B4W0L%O2=M5B4W0L%O3=M5B4W0L%O4=M5B4W0L%O5=M5B4W0L%O6=M5B4)|WIN(W1=7918%W2=7918%W3=7918%W4=7918%W5=7918%W6=7918)|ECN(R=Y%DF=N%T=6F-79%TG=80%W=7918%O=M5B4W0L%CC=N%Q=)|T1(R=Y%DF=N%T=6F-79%TG=80%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=N)|T4(R=Y%DF=N%T=6F-79%TG=80%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=6F-79%TG=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=6F-79%TG=80%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=6F-79%TG=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|U1(DF=N%T=6F-79%TG=80%IPL=240%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=BF00|E6CC%RUD=I)|IE(DFI=N%T=6F-79%TG=80%CD=Z)'
'Class Frontier Silicon | embedded || media device','media device','SEQ(SP=C7-DB%GCD=1-6%ISR=D7-E1%TI=I%CI=I%TS=U)|OPS(O1=M5B4W0L%O2=M5B4W0L%O3=M5B4W0L%O4=M5B4W0L%O5=M5B4W0L%O6=M5B4)|WIN(W1=7918%W2=7918%W3=7918%W4=7918%W5=7918%W6=7918)|ECN(R=Y%DF=N%T=73-7D%TG=80%W=7918%O=M5B4W0L%CC=N%Q=)|T1(R=Y%DF=N%T=73-7D%TG=80%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=N)|T4(R=Y%DF=N%T=73-7D%TG=80%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=73-7D%TG=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=73-7D%TG=80%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=73-7D%TG=80%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|U1(DF=N%T=73-7D%TG=80%IPL=240%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=E710%RUD=I)|IE(DFI=N%T=73-7D%TG=80%CD=Z)'
'Class Fuji Xerox | embedded || printer','printer','SEQ(SP=8E-98%GCD=1-6%ISR=97-A1%TI=I%CI=I%TS=U)|OPS(O1=M5B4NW0%O2=M5B4NW0%O3=M5B4NW0%O4=M5B4NW0%O5=M5B4NW0%O6=M5B4)|WIN(W1=4000%W2=4000%W3=4000%W4=4000%W5=4000%W6=4000)|ECN(R=Y%DF=Y%T=3B-45%TG=40%W=4000%O=M5B4NW0%CC=N%Q=)|T1(R=Y%DF=Y%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=N)|T4(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=Z%F=R%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=138%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=3B-45%TG=40%CD=Z)'
'Class Fuji Xerox | embedded || printer','printer','SEQ(SP=B-15%GCD=FA00|1F400|2EE00|3E800|4E200%ISR=96-A0%TI=I%CI=I%II=I%SS=S%TS=U)|OPS(O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4)|WIN(W1=1000%W2=1000%W3=1000%W4=1000%W5=1000%W6=1000)|ECN(R=Y%DF=N%T=19-23%TG=20%W=1000%O=M5B4%CC=N%Q=)|T1(R=Y%DF=N%T=19-23%TG=20%S=O%A=O|S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=19-23%TG=20%W=1000%S=O%A=O%F=A%O=%RD=0%Q=)|T4(R=N)|T5(R=Y%DF=N%T=19-23%TG=20%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=19-23%TG=20%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=19-23%TG=20%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=FA-104%TG=FF%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=Z%RUCK=0%RUD=G)|IE(DFI=S%T=FA-104%TG=FF%CD=S)'
'Class Fuji Xerox | embedded || printer','printer','SEQ(R=N)|OPS(O1=%O2=%O3=%O4=%O5=%O6=)|WIN(W1=3000%W2=3000%W3=3000%W4=3000%W5=3000%W6=3000)|ECN(R=Y%DF=N%T=19-23%TG=20%W=3000%O=%CC=N%Q=)|T1(R=Y%DF=N%T=19-23%TG=20%S=Z%A=S+%F=AR%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=19-23%TG=20%W=3000%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T4(R=Y%DF=N%T=19-23%TG=20%W=3000%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=19-23%TG=20%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=19-23%TG=20%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=19-23%TG=20%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=FA-104%TG=FF%IPL=38%UN=0%RIPL=4E4%RID=G%RIPCK=Z%RUCK=G%RUD=G)|IE(DFI=S%T=FA-104%TG=FF%CD=S)'
'Class Fuji Xerox | embedded || printer','printer','SEQ(SP=0-5%GCD=FA01|1F402|2EE03|3E804|4E205%ISR=95-9F%TI=BI%CI=BI%II=BI%SS=S%TS=U)|OPS(O1=M5A0NW0%O2=M5A0NW0%O3=M5A0NW0%O4=M5A0NW0%O5=M5A0NW0%O6=M5A0)|WIN(W1=2710%W2=2710%W3=2710%W4=2710%W5=2710%W6=2710)|ECN(R=Y%DF=N%T=3B-45%TG=40%W=2710%O=M5A0NW0%CC=N%Q=)|T1(R=Y%DF=N%T=3B-45%TG=40%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=R%O=%RD=0%Q=)|T3(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T4(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=A%A=S+%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=A%A=S+%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=FA-104%TG=FF%W=0%S=Z%A=S+%F=R%O=%RD=0%Q=)|U1(DF=N%T=3B-45%TG=40%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=S%T=3B-45%TG=40%CD=Z)'
'Class Fujian Ruijie | embedded || switch','switch','SEQ(SP=0-5%GCD=388|710|A98|E20|11A8%ISR=63-6D%TI=I%CI=I%II=I%SS=S%TS=U)|OPS(O1=M218%O2=M218%O3=M218%O4=M218%O5=M218%O6=M218)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=FB-105%TG=FF%W=2000%O=M218%CC=N%Q=)|T1(R=Y%DF=N%T=FB-105%TG=FF%S=O|Z%A=S+%F=AS%RD=0%Q=)|T2(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|T3(R=Y%DF=N%T=FB-105%TG=FF%W=2000%S=O|Z%A=S+%F=AS%O=M218%RD=0%Q=)|T4(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=A%A=S%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=A%A=S%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=FB-105%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|U1(DF=N%T=3C-46%TG=40%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=N%T=3C-46%TG=40%CD=Z)'
'Class Fujitsu Siemens | BS2000/OSD || general purpose','general purpose','SEQ(SP=13-69%GCD=1-6%ISR=7A-84%TI=I%II=I%SS=S%TS=U)|OPS(O1=M58CNNSNW5%O2=M58CNNSNW5%O3=M58CNW5%O4=M58CNNSNW5%O5=M58CNNSNW5%O6=M58CNNS)|WIN(W1=111C%W2=111C%W3=B18%W4=B18%W5=B18%W6=B18)|ECN(R=Y%DF=N%T=1B-25%TG=20%W=111C%O=M58CNNSNW5%CC=Y%Q=)|T1(R=Y%DF=N%T=1B-25%TG=20%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=Y%DF=N%T=1B-25%TG=20%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|T3(R=Y%DF=N%T=1B-25%TG=20%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T4(R=Y%DF=N%T=1B-25%TG=20%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=1B-25%TG=20%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=1B-25%TG=20%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=1B-25%TG=20%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=Y%T=1B-25%TG=20%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=N%T=1B-25%TG=20%CD=S)'
'Class Fujitsu Siemens | embedded || general purpose','general purpose','SEQ(SP=C-16%GCD=FA7F|1F4FE|2EF7D|3E9FC|4E47B%ISR=97-A1%TI=I%II=I%SS=S%TS=U)|OPS(O1=MF8%O2=MF8%O3=MF8%O4=MF8%O5=MF8%O6=MF8)|WIN(W1=2000%W2=2000%W3=2000%W4=2000%W5=2000%W6=2000)|ECN(R=Y%DF=N%T=19-23%TG=20%W=2000%O=MF8%CC=N%Q=)|T1(R=Y%DF=N%T=19-23%TG=20%S=O%A=S+%F=AS%RD=0%Q=)|T2(R=N)|T3(R=Y%DF=N%T=19-23%TG=20%W=2000%S=O%A=O%F=A%O=%RD=0%Q=)|T4(R=Y%DF=N%T=19-23%TG=20%W=2000%S=A%A=Z%F=R%O=%RD=0%Q=)|T5(R=Y%DF=N%T=19-23%TG=20%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)|T6(R=Y%DF=N%T=19-23%TG=20%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)|T7(R=Y%DF=N%T=19-23%TG=20%W=0%S=Z%A=S%F=AR%O=%RD=0%Q=)|U1(DF=N%T=19-23%TG=20%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)|IE(DFI=N%T=19-23%TG=20%CD=S)'
